fromNode	toNode	Resistance	Reactance	ContingencyMarked	Capacity
1	2	0.0303	0.0999	0	100000
1	3	0.0129	0.0424	1	100000
2	12	0.0187	0.0616	1	100000
3	5	0.0241	0.108	0	100000
3	12	0.0484	0.16	0	100000
4	5	0.00176	0.00798	0	100000
4	11	0.0209	0.0688	0	100000
5	6	0.0119	0.054	0	100000
8	5	0	0.0267	0	100000
5	11	0.0203	0.0682	0	100000
6	7	0.00459	0.0208	0	100000
7	12	0.00862	0.034	0	100000
8	9	0.00244	0.0305	0	100000
8	30	0.00431	0.0504	0	100000
9	10	0.00258	0.0322	0	100000
11	12	0.00595	0.0196	0	100000
11	13	0.02225	0.0731	0	100000
12	14	0.0215	0.0707	0	100000
12	16	0.0212	0.0834	0	100000
12	117	0.0329	0.14	0	100000
13	15	0.0744	0.2444	0	100000
14	15	0.0595	0.195	0	100000
15	17	0.0132	0.0437	0	100000
15	19	0.012	0.0394	0	100000
15	33	0.038	0.1244	0	100000
16	17	0.0454	0.1801	0	100000
17	18	0.0123	0.0505	0	100000
30	17	0	0.0388	0	100000
17	31	0.0474	0.1563	0	100000
17	113	0.00913	0.0301	0	100000
18	19	0.01119	0.0493	0	100000
19	20	0.0252	0.117	0	100000
19	34	0.0752	0.247	0	100000
20	21	0.0183	0.0849	0	100000
21	22	0.0209	0.097	0	100000
22	23	0.0342	0.159	0	100000
23	24	0.0135	0.0492	0	100000
23	25	0.0156	0.08	0	100000
23	32	0.0317	0.1153	0	100000
24	70	0.00221	0.4115	0	100000
24	72	0.0488	0.196	0	100000
26	25	0	0.0382	0	100000
25	27	0.0318	0.163	0	100000
26	30	0.00799	0.086	0	100000
27	28	0.01913	0.0855	0	100000
27	32	0.0229	0.0755	0	100000
27	115	0.0164	0.0741	0	100000
28	29	0.0237	0.0943	0	100000
29	31	0.0108	0.0331	0	100000
30	38	0.00464	0.054	0	100000
31	32	0.0298	0.0985	0	100000
32	113	0.0615	0.203	0	100000
32	114	0.0135	0.0612	0	100000
33	37	0.0415	0.142	0	100000
34	36	0.00871	0.0268	0	100000
34	37	0.00256	0.0094	0	100000
34	43	0.0413	0.1681	0	100000
35	36	0.00224	0.0102	0	100000
35	37	0.011	0.0497	0	100000
38	37	0	0.0375	0	100000
37	39	0.0321	0.106	0	100000
37	40	0.0593	0.168	0	100000
38	65	0.00901	0.0986	0	100000
39	40	0.0184	0.0605	0	100000
40	41	0.0145	0.0487	0	100000
40	42	0.0555	0.183	0	100000
41	42	0.041	0.135	0	100000
42	49	0.0715	0.323	0	100000
42	49	0.0715	0.323	0	100000
43	44	0.0608	0.2454	0	100000
44	45	0.0224	0.0901	0	100000
45	46	0.04	0.1356	0	100000
45	49	0.0684	0.186	0	100000
46	47	0.038	0.127	0	100000
46	48	0.0601	0.189	0	100000
47	49	0.0191	0.0625	0	100000
47	69	0.0844	0.2778	0	100000
48	49	0.0179	0.0505	0	100000
49	50	0.0267	0.0752	0	100000
49	51	0.0486	0.137	0	100000
49	54	0.073	0.289	0	100000
49	54	0.0869	0.291	0	100000
49	66	0.018	0.0919	0	100000
49	66	0.018	0.0919	0	100000
49	69	0.0985	0.324	0	100000
50	57	0.0474	0.134	0	100000
51	52	0.0203	0.0588	0	100000
51	58	0.0255	0.0719	0	100000
52	53	0.0405	0.1635	0	100000
53	54	0.0263	0.122	0	100000
54	55	0.0169	0.0707	0	100000
54	56	0.00275	0.00955	0	100000
54	59	0.0503	0.2293	0	100000
55	56	0.00488	0.0151	0	100000
55	59	0.04739	0.2158	0	100000
56	57	0.0343	0.0966	0	100000
56	58	0.0343	0.0966	0	100000
56	59	0.0825	0.251	0	100000
56	59	0.0803	0.239	0	100000
59	60	0.0317	0.145	0	100000
59	61	0.0328	0.15	0	100000
63	59	0	0.0386	0	100000
60	61	0.00264	0.0135	0	100000
60	62	0.0123	0.0561	0	100000
61	62	0.00824	0.0376	0	100000
64	61	0	0.0268	0	100000
62	66	0.0482	0.218	0	100000
62	67	0.0258	0.117	0	100000
63	64	0.00172	0.02	0	100000
64	65	0.00269	0.0302	0	100000
65	66	0	0.037	0	100000
65	68	0.00138	0.016	0	100000
66	67	0.0224	0.1015	0	100000
68	69	0	0.037	0	100000
68	81	0.00175	0.0202	0	100000
68	116	0.00034	0.00405	0	100000
69	70	0.03	0.127	0	100000
69	75	0.0405	0.122	0	100000
69	77	0.0309	0.101	0	100000
70	71	0.00882	0.0355	0	100000
70	74	0.0401	0.1323	0	100000
70	75	0.0428	0.141	0	100000
71	72	0.0446	0.18	0	100000
71	73	0.00866	0.0454	0	100000
74	75	0.0123	0.0406	0	100000
75	77	0.0601	0.1999	0	100000
75	118	0.0145	0.0481	0	100000
76	77	0.0444	0.148	0	100000
76	118	0.0164	0.0544	0	100000
77	78	0.00376	0.0124	0	100000
77	80	0.017	0.0485	0	100000
77	80	0.0294	0.105	0	100000
77	82	0.0298	0.0853	0	100000
78	79	0.00546	0.0244	0	100000
79	80	0.0156	0.0704	0	100000
81	80	0	0.037	0	100000
80	96	0.0356	0.182	0	100000
80	97	0.0183	0.0934	0	100000
80	98	0.0238	0.108	0	100000
80	99	0.0454	0.206	0	100000
82	83	0.0112	0.03665	0	100000
82	96	0.0162	0.053	0	100000
83	84	0.0625	0.132	0	100000
83	85	0.043	0.148	0	100000
84	85	0.0302	0.0641	0	100000
85	86	0.035	0.123	0	100000
85	88	0.02	0.102	0	100000
85	89	0.0239	0.173	0	100000
86	87	0.02828	0.2074	0	100000
88	89	0.0139	0.0712	0	100000
89	90	0.0518	0.188	0	100000
89	90	0.0238	0.0997	0	100000
89	92	0.0099	0.0505	0	100000
89	92	0.0393	0.1581	0	100000
90	91	0.0254	0.0836	0	100000
91	92	0.0387	0.1272	0	100000
