ConnNode	Interval-1_Load	Interval-2_Load
1	-51	-51
2	-20	-20
3	-39	-39
4	-30	-30
6	-52	-52
7	-19	-19
11	-70	-70
12	-47	-47
13	-34	-34
14	-14	-14
15	-90	-90
16	-25	-25
17	-11	-11
18	-60	-60
19	-45	-45
20	-18	-18
21	-14	-14
22	-10	-10
23	-7	-7
27	-62	-62
28	-17	-17
29	-24	-24
31	-43	-43
32	-59	-59
33	-23	-23
34	-59	-59
35	-33	-33
36	-31	-31
39	-27	-27
40	-20	-20
41	-37	-37
42	-37	-37
43	-18	-18
44	-16	-16
45	-53	-53
46	-28	-28
47	-34	-34
48	-20	-20
49	-87	-87
50	-17	-17
51	-17	-37
52	-18	-18
53	-23	-23
54	-113	-113
55	-63	-63
56	-84	-84
57	-12	-12
58	-12	-12
59	-277	-277
60	-78	-78
62	-77	-77
66	-39	-39
67	-28	-28
70	-66	-66
74	-68	-68
75	-47	-47
76	-68	-68
77	-61	-61
78	-71	-71
79	-39	-39
80	-130	-130
82	-54	-54
83	-20	-20
84	-11	-11
85	-24	-24
86	-21	-21
88	-48	-48
90	-78	-78
92	-65	-65
93	-12	-12
94	-30	-30
95	-42	-42
96	-38	-38
97	-15	-15
98	-34	-34
100	-37	-37
101	-22	-22
102	-5	-5
103	-23	-23
104	-38	-38
105	-31	-31
106	-43	-43
107	-28	-28
108	-2	-2
109	-8	-8
110	-39	-39
112	-25	-25
114	-8	-8
115	-22	-22
117	-20	-20
118	-33	-33
