connNode	c2	c1	c0	PgMax	PgMin	RgMax	RgMin	PgPrev
1	0.05	8	0	192	38	154	-154	38
2	0.03	6	0	192	38	154	-154	38
7	0.06	10	0	300	75	225	-225	75
13	0.08	25	0	591	206	385	-385	206
15	0.09	50	0	215	66	149	-149	66
16	0.09	39	0	155	54	101	-101	54
18	0.06	11	0	400	100	300	-300	100
21	0.07	9	0	400	100	300	-300	100
22	0.05	10	0	300	60	240	-240	60
23	0.06	7	0	660	250	410	-410	250
25	0.05	12	0	192	38	154	-154	38
26	0.03	6	0	192	38	154	-154	38
31	0.06	19	0	300	75	225	-225	75
37	0.08	20	0	591	206	385	-385	206
39	0.09	40	0	215	66	149	-149	66
40	0.09	55	0	155	54	101	-101	54
42	0.06	12	0	400	100	300	-300	100
45	0.07	14	0	400	100	300	-300	100
46	0.05	19	0	300	60	240	-240	60
47	0.06	50	0	660	250	410	-410	250
