ConnNode	Interval-1_Load	Interval-2_Load
1	-90	-91
2	-56	-56
3	-20	-20
5	-353	-353
6	-120	-120
8	-58	-58
9	-96	-96
10	-148	-148
11	-83	-83
13	-58	-58
14	-160	-160
15	-126.7	-126.7
17	-561	-561
20	-595	-595
21	-77	-77
22	-81	-81
23	-21	-21
25	-45	-45
26	-28	-28
27	-69	-69
33	-55	-55
37	-85	-85
38	-155	-155
40	-46	-46
41	-86	-86
43	-39	-39
44	-195	-195
47	-58	-58
48	-41	-41
49	-92	-92
51	-5	-5
52	-61	-61
53	-69	-69
54	-10	-10
55	-22	-22
57	-98	-98
58	-14	-14
59	-218	-218
61	-227	-227
63	-70	-70
70	-56	-56
71	-116	-116
72	-57	-57
73	-224	-224
76	-208	-208
77	-74	-74
79	-48	-48
80	-28	-28
84	-37	-37
89	-44.2	-44.2
90	-66	-66
91	-17.4	-17.4
92	-15.8	-15.8
94	-60.3	-60.3
97	-39.9	-39.9
98	-66.7	-66.7
99	-83.5	-83.5
102	-77.8	-77.8
103	-32	-32
104	-8.6	-8.6
105	-49.6	-49.6
107	-4.6	-4.6
108	-112.1	-112.1
109	-30.7	-30.7
110	-63	-63
112	-19.6	-19.6
113	-26.2	-26.2
114	-18.2	-18.2
118	-14.1	-14.1
120	-777	-777
121	-535	-535
122	-229.1	-229.1
123	-78	-78
124	-276.4	-276.4
125	-514.8	-514.8
126	-57.9	-57.9
127	-380.8	-380.8
135	-169.2	-169.2
136	-55.2	-55.2
137	-273.6	-273.6
138	-826.7	-826.7
139	-595	-595
140	-387.7	-387.7
141	-145	-145
142	-56.5	-56.5
143	-89.5	-89.5
145	-24	-25
148	-63	-63
152	-17	-17
154	-70	-70
155	-200	-200
156	-75	-75
157	-123.5	-123.5
159	-33	-33
161	-35	-35
162	-85	-85
167	-299.9	-299.9
170	-481.8	-481.8
171	-763.6	-763.6
172	-26.5	-26.5
173	-163.5	-163.5
175	-176	-176
176	-5	-5
177	-28	-28
178	-427.4	-427.4
179	-74	-74
180	-69.5	-69.5
181	-73.4	-73.4
182	-240.7	-240.7
183	-40	-40
184	-136.8	-136.8
186	-59.8	-59.8
187	-59.8	-59.8
188	-182.6	-182.6
189	-7	-7
191	-489	-489
192	-800	-800
196	-10	-10
197	-43	-43
198	-64	-64
199	-35	-35
200	-27	-27
201	-41	-41
202	-38	-38
203	-42	-42
204	-72	-72
206	-12	-12
207	-21	-21
208	-7	-7
209	-38	-38
211	-96	-96
214	-22	-22
215	-47	-47
216	-176	-176
217	-100	-100
218	-131	-131
220	-285	-285
221	-171	-171
222	-328	-328
223	-428	-428
224	-173	-173
225	-410	-410
227	-538	-538
228	-223	-223
229	-96	-96
231	-159	-159
232	-448	-448
233	-404	-404
234	-572	-572
235	-269	-269
238	-255	-255
243	-8	-8
245	-61	-61
246	-77	-77
247	-61	-61
248	-29	-29
249	-29	-29
250	-23	-23
281	-33.1	-33.1
319	-115.8	-115.8
320	-2.4	-2.4
322	-2.4	-2.4
323	-14.9	-14.9
324	-24.7	-24.7
526	-145.3	-145.3
528	-28.1	-28.1
531	-14	-14
552	-11.1	-11.1
562	-50.5	-50.5
609	-29.6	-29.6
664	-113.7	-113.7
1190	-100.31	-100.31
1200	-100	-100
9003	-2.71	-2.71
9004	-0.86	-0.86
9021	-4.75	-4.75
9022	-1.53	-1.53
9024	-1.35	-1.35
9025	-0.45	-0.45
9026	-0.45	-0.45
9031	-1.84	-1.84
9032	-1.39	-1.39
9033	-1.89	-1.89
9034	-1.55	-1.55
9035	-1.66	-1.66
9036	-3.03	-3.03
9037	-1.86	-1.86
9038	-2.58	-2.58
9041	-1.01	-1.01
9042	-0.81	-0.81
9043	-1.6	-1.6
9052	-30	-30
9071	-1.02	-1.02
9072	-1.02	-1.02
9121	-3.8	-3.8
9533	-1.19	-2.19
	-23890.46	-23893.46
	0	-3
