fromNode	toNode	Resistance	Reactance	ContingencyMarked	Capacity
1	2	0.01938	0.05917	1	10000
1	5	0.05403	0.22304	1	10000
2	3	0.04699	0.19797	1	10000
2	4	0.05811	0.17632	1	10000
2	5	0.05695	0.17388	1	10000
3	4	0.06701	0.17103	1	10000
4	5	0.01335	0.04211	1	10000
4	7	0	0.20912	1	10000
4	9	0	0.55618	1	10000
5	6	0	0.25202	1	10000
6	11	0.09498	0.1989	1	10000
6	12	0.12291	0.25581	1	10000
6	13	0.06615	0.13027	1	10000
7	8	0	0.17615	1	10000
7	9	0	0.11001	1	10000
9	10	0.03181	0.0845	1	10000
9	14	0.12711	0.27038	1	10000
10	11	0.08205	0.19207	1	10000
12	13	0.22092	0.19988	1	10000
13	14	0.17093	0.34802	1	10000
