fromNode	toNode	Resistance	Reactance	ContingencyMarked	Capacity
1	2	0.0083	0.028	0	10000
1	15	0.0178	0.091	0	10000
1	16	0.0454	0.206	0	10000
1	17	0.0238	0.108	0	10000
2	3	0.0298	0.085	0	10000
3	4	0.0112	0.0366	0	10000
3	15	0.0162	0.053	0	10000
4	5	0.0625	0.132	0	10000
4	6	0.043	0.148	0	10000
4	18	0	0.555	0	10000
4	18	0	0.43	0	10000
5	6	0.0302	0.0641	0	10000
6	7	0.02	0.102	0	10000
6	8	0.0339	0.173	0	10000
7	8	0.0139	0.0712	0	10000
7	29	0	0.0648	0	10000
8	9	0.0099	0.0505	0	10000
9	10	0.0369	0.1679	0	10000
9	11	0.0258	0.0848	0	10000
9	12	0.0648	0.295	1	10000
9	13	0.0481	0.158	0	10000
9	55	0	0.1205	0	10000
10	12	0.0277	0.1262	0	10000
10	51	0	0.0712	0	10000
11	13	0.0223	0.0732	0	10000
11	41	0	0.749	0	10000
11	43	0	0.153	0	10000
12	13	0.0178	0.058	0	10000
12	16	0.018	0.0813	0	10000
12	17	0.0397	0.179	1	10000
13	14	0.0132	0.0434	0	10000
13	15	0.0269	0.0869	0	10000
13	49	0	0.191	0	10000
14	15	0.0171	0.0547	0	10000
14	46	0	0.0735	0	10000
15	45	0	0.1042	0	10000
18	19	0.461	0.685	0	10000
19	20	0.283	0.434	0	10000
21	20	0	0.7767	0	10000
21	22	0.0736	0.117	0	10000
22	23	0.0099	0.0152	0	10000
22	38	0.0192	0.0295	0	10000
23	24	0.166	0.256	0	10000
24	25	0	1.182	0	10000
24	25	0	1.23	0	10000
24	26	0	0.0473	1	10000
25	30	0.135	0.202	0	10000
26	27	0.165	0.254	0	10000
27	28	0.0618	0.0954	0	10000
28	29	0.0418	0.0587	0	10000
29	52	0.1442	0.187	0	10000
30	31	0.326	0.497	0	10000
31	32	0.507	0.755	0	10000
32	33	0.0392	0.036	0	10000
34	32	0	0.953	0	10000
34	35	0.052	0.078	0	10000
35	36	0.043	0.0537	0	10000
36	37	0.029	0.0366	0	10000
36	40	0.03	0.0466	0	10000
37	38	0.0651	0.1009	0	10000
37	39	0.0239	0.0379	0	10000
38	44	0.0289	0.0585	0	10000
38	48	0.0312	0.0482	1	10000
38	49	0.115	0.177	0	10000
39	57	0	1.355	0	10000
40	56	0	1.195	0	10000
41	42	0.207	0.352	0	10000
41	43	0	0.412	0	10000
56	41	0.553	0.549	0	10000
56	42	0.2125	0.354	0	10000
44	45	0.0624	0.1242	0	10000
46	47	0.023	0.068	0	10000
47	48	0.0182	0.0233	0	10000
48	49	0.0834	0.129	0	10000
49	50	0.0801	0.128	0	10000
50	51	0.1386	0.22	0	10000
52	53	0.0762	0.0984	0	10000
53	54	0.1878	0.232	0	10000
54	55	0.1732	0.2265	0	10000
57	56	0.174	0.26	0	10000
