connNode	c2	c1	c0	PgMax	PgMin	RgMax	RgMin	PgPrev
8	0.01	40	0	100	0	100	-100	12.8257
10	0.01	40	0	100	0	100	-100	12.8253
20	0.01	40	0	100	0	100	-100	12.8251
63	0.01	40	0	100	0	100	-100	12.8258
76	0.01	40	0	100	0	100	-100	12.8257
84	0.0266667	20	0	475	0	475	-475	379.517
91	0.0645161	20	0	255	0	255	-255	156.849
92	0.0344828	20	0	390	0	390	-390	293.479
98	0.147059	20	0	168	0	168	-168	68.8089
108	0.0854701	20	0	217	0	217	-217	118.394
119	0.00518135	20	0	2030	0	2030	-2030	1935.85
124	0.0416667	20	0	340	0	340	-340	242.873
125	0.01	40	0	100	0	100	-100	12.8258
138	0.01	40	0	100	0	100	-100	12.8272
141	0.0355872	20	0	381	0	381	-381	284.37
143	0.0143678	20	0	796	0	796	-796	704.544
146	0.119048	20	0	184	0	184	-184	84.9996
147	0.0460829	20	0	317	0	317	-317	219.596
149	0.0970874	20	0	203	0	203	-203	104.227
152	0.0268817	20	0	472	0	472	-472	376.481
153	0.0462963	20	0	316	0	316	-316	218.583
156	0.01	40	0	100	0	100	-100	12.8259
170	0.0487805	20	0	305	0	305	-305	207.451
171	0.01	40	0	100	0	100	-100	12.8258
176	0.0438596	20	0	328	0	328	-328	230.728
177	0.119048	20	0	184	0	184	-184	84.9995
185	0.05	20	0	300	0	300	-300	202.39
186	0.00833333	20	0	1300	0	1300	-1300	1214.03
187	0.00833333	20	0	1300	0	1300	-1300	1214.03
190	0.0210526	20	0	575	0	575	-575	480.754
191	0.00506842	20	0	2073	0	2073	-2073	1977.21
198	0.0235849	20	0	524	0	524	-524	429.121
213	0.0367647	20	0	372	0	372	-372	275.26
220	0.1	20	0	200	0	200	-200	101.191
221	0.0222222	20	0	550	0	550	-550	455.443
222	0.04	20	0	350	0	350	-350	252.994
227	0.0330033	20	0	403	0	403	-403	306.637
230	0.0289855	20	0	445	0	445	-445	349.149
233	0.0333333	20	0	400	0	400	-400	303.6
236	0.0166667	20	0	700	0	700	-700	607.323
238	0.04	20	0	350	0	350	-350	252.994
239	0.0181818	20	0	650	0	650	-650	556.693
241	0.0173783	20	0	675.43	0	675.43	-675.43	582.443
242	0.0588235	20	0	270	0	270	-270	172.03
243	0.119048	20	0	184	0	184	-184	84.9995
7001	0.0214133	20	0	567	0	567	-567	472.654
7002	0.0160514	20	0	723	0	723	-723	630.614
7003	0.00826446	20	0	1310	0	1310	-1310	1224.09
7011	0.042735	20	0	334	0	334	-334	236.801
7012	0.0268817	20	0	472	0	472	-472	376.48
7017	0.030303	20	0	430	0	430	-430	333.966
7023	0.0540541	20	0	285	0	285	-285	187.21
7024	0.0243902	20	0	510	0	510	-510	414.948
7039	0.02	20	0	600	0	600	-600	506.066
7044	0.27027	20	0	137	0	137	-137	37.4398
7049	0.01	40	0	2399.01	0	2399.01	-2399.01	13.2019
7055	0.222222	20	0	145	0	145	-145	45.535
7057	0.0606061	20	0	265	0	265	-265	166.969
7061	0.025	20	0	500	0	500	-500	404.825
7062	0.025	20	0	500	0	500	-500	404.825
7071	0.0862069	20	0	216	0	216	-216	117.382
7130	0.00773994	20	0	1392	0	1392	-1392	1306.5
7139	0.0142857	20	0	800	0	800	-800	708.595
7166	0.0180832	20	0	653	0	653	-653	559.73
9002	0.01	40	0	100	0	100	-100	12.8258
9051	0.01	40	0	100	0	100	-100	12.8257
9053	0.01	40	0	100	0	100	-100	12.8257
9054	0.2	20	0	150	0	150	-150	50.5945
9055	1.25	20	0	108	0	108	-108	8.095
