fromNode	toNode	Resistance	Reactance	ContingencyMarked	Capacity
3	1	0	0.052	0	100000
1	5	0.001	0.006	0	100000
7001	1	0	0.01953	0	100000
3	2	0	0.052	0	100000
2	6	0.001	0.009	0	100000
2	8	0.006	0.027	0	100000
7002	2	0.001	0.0146	0	100000
3	4	0	0.005	0	100000
3	7	0	0.003	0	100000
3	19	0.008	0.069	0	100000
3	150	0.001	0.007	0	100000
7003	3	0	0.01054	0	100000
4	16	0.002	0.019	0	100000
7	5	0	0.039	0	100000
5	9	0.006	0.029	0	100000
7	6	0	0.039	0	100000
7	12	0.001	0.009	0	100000
7	131	0.001	0.007	1	100000
8	11	0.013	0.0595	0	100000
8	14	0.013	0.042	0	100000
9	11	0.006	0.027	0	100000
10	11	0	0.089	0	100000
12	10	0	0.053	0	100000
11	13	0.008	0.034	0	100000
7011	11	0	0.01923	0	100000
12	21	0.002	0.015	0	100000
7012	12	0	0.0312	0	100000
13	20	0.006	0.034	0	100000
14	15	0.014	0.042	0	100000
16	15	0.001	0.038	0	100000
15	17	0.0194	0.0311	0	100000
15	37	0.065	0.248	0	100000
15	89	0.099	0.248	0	100000
15	90	0.096	0.363	0	100000
16	42	0.002	0.022	0	100000
7017	17	0	0.01654	0	100000
19	21	0.002	0.018	0	100000
19	87	0.013	0.08	0	100000
21	20	0	0.014	0	100000
20	22	0.016	0.033	0	100000
20	27	0.069	0.186	0	100000
21	24	0.004	0.034	0	100000
22	23	0.052	0.111	0	100000
24	23	0	0.064	0	100000
23	25	0.019	0.039	0	100000
7023	23	0	0.023	0	100000
24	319	0.007	0.068	0	100000
7024	24	0	0.0289	0	100000
25	26	0.036	0.071	0	100000
26	27	0.045	0.12	0	100000
26	320	0.043	0.13	0	100000
33	34	0	0.063	0	100000
33	38	0.0025	0.012	0	100000
33	40	0.006	0.029	0	100000
33	41	0.007	0.043	0	100000
34	42	0.001	0.008	0	100000
36	35	0	0.047	0	100000
35	72	0.012	0.06	0	100000
35	76	0.006	0.014	0	100000
35	77	0.01	0.029	0	100000
36	88	0.004	0.027	0	100000
37	38	0.008	0.047	0	100000
37	40	0.022	0.064	0	100000
37	41	0.01	0.036	0	100000
37	49	0.017	0.081	0	100000
37	89	0.102	0.254	0	100000
37	90	0.047	0.127	0	100000
37	9001	0.00006	0.00046	0	100000
38	41	0.008	0.037	0	100000
38	43	0.032	0.087	0	100000
39	42	0.0006	0.0064	0	100000
7039	39	0	0.03159	0	100000
40	48	0.026	0.154	0	100000
41	42	0	0.029	0	100000
41	49	0.065	0.191	0	100000
41	51	0.031	0.089	0	100000
42	46	0.002	0.014	0	100000
43	44	0.026	0.072	0	100000
43	48	0.095	0.262	0	100000
43	53	0.013	0.039	0	100000
45	44	0	0.02	0	100000
44	47	0.027	0.084	0	100000
44	54	0.028	0.084	0	100000
7044	44	0	0.18181	0	100000
45	46	0	0.021	0	100000
45	60	0.007	0.041	0	100000
45	74	0.009	0.054	0	100000
46	81	0.005	0.042	0	100000
47	73	0.052	0.145	0	100000
47	113	0.043	0.118	0	100000
48	107	0.025	0.062	0	100000
49	51	0.031	0.094	0	100000
7049	49	0	0.0124	0	100000
51	52	0.037	0.109	0	100000
52	55	0.027	0.08	0	100000
53	54	0.025	0.073	0	100000
54	55	0.035	0.103	0	100000
55	57	0.065	0.169	0	100000
7055	55	0	0.19607	0	100000
57	58	0.046	0.08	0	100000
57	63	0.159	0.537	0	100000
7057	57	0	0.05347	0	100000
58	59	0.009	0.026	0	100000
59	61	0.002	0.013	0	100000
60	62	0.009	0.065	0	100000
62	61	0	0.059	0	100000
7061	61	0	0.0238	0	100000
62	64	0.016	0.105	0	100000
62	144	0.001	0.007	0	100000
7062	62	0	0.03214	0	100000
63	64	0	0.038	0	100000
63	526	0.0265	0.172	0	100000
69	79	0.051	0.157	0	100000
201	69	0	0.098	0	100000
69	211	0.051	0.232	0	100000
70	71	0.032	0.1	0	100000
70	528	0.02	0.1234	0	100000
71	72	0.036	0.131	0	100000
71	73	0.034	0.099	0	100000
7071	71	0	0.06896	0	100000
72	77	0.018	0.087	0	100000
72	531	0.0256	0.193	0	100000
73	74	0	0.0244	0	100000
73	76	0.021	0.057	0	100000
73	79	0.018	0.052	0	100000
74	88	0.004	0.027	0	100000
74	562	0.0286	0.2013	0	100000
76	77	0.016	0.043	0	100000
77	78	0.001	0.006	0	100000
77	80	0.014	0.07	0	100000
77	552	0.0891	0.2676	0	100000
77	609	0.0782	0.2127	0	100000
78	79	0.006	0.022	0	100000
78	84	0	0.036	0	100000
79	211	0.099	0.375	0	100000
80	211	0.022	0.107	0	100000
81	88	0	0.02	0	100000
81	194	0.0035	0.033	0	100000
81	195	0.0035	0.033	0	100000
85	86	0.008	0.064	0	100000
85	99	0	0.048	0	100000
86	87	0.012	0.093	0	100000
86	102	0	0.048	0	100000
86	323	0.006	0.048	0	100000
87	94	0	0.046	0	100000
89	91	0.047	0.119	0	100000
90	92	0.032	0.174	0	100000
91	94	0.1	0.253	0	100000
91	97	0.022	0.077	0	100000
92	103	0.019	0.144	0	100000
92	105	0.017	0.092	0	100000
94	97	0.278	0.427	0	100000
97	100	0.022	0.053	0	100000
97	102	0.038	0.092	0	100000
97	103	0.048	0.122	0	100000
98	100	0.024	0.064	0	100000
98	102	0.034	0.121	0	100000
99	107	0.053	0.135	0	100000
99	108	0.002	0.004	0	100000
99	109	0.045	0.354	0	100000
99	110	0.05	0.174	0	100000
100	102	0.016	0.038	0	100000
102	104	0.043	0.064	0	100000
103	105	0.019	0.062	0	100000
104	108	0.076	0.13	0	100000
104	322	0.044	0.124	0	100000
105	107	0.012	0.088	0	100000
105	110	0.157	0.4	0	100000
108	324	0.074	0.208	0	100000
109	110	0.07	0.184	0	100000
109	113	0.1	0.274	0	100000
109	114	0.109	0.393	0	100000
110	112	0.142	0.404	0	100000
112	114	0.017	0.042	0	100000
114	207	0	0.149	0	100000
121	115	0	0.028	0	100000
115	122	0.0036	0.0199	0	100000
116	120	0.002	0.1049	0	100000
116	124	0.0052	0.0174	0	100000
117	118	0.0001	0.0018	0	100000
159	117	0	0.016	0	100000
118	119	0	0.0271	0	100000
118	121	0.0022	0.2915	0	100000
118	1201	0	0.6163	0	100000
119	120	0	0.0339	0	100000
119	121	0	0.0582	0	100000
119	1190	0.001	0.023	0	100000
120	1200	0	0.023	0	100000
1201	120	0	0.3697	0	100000
122	123	0.0808	0.2344	0	100000
122	125	0.0965	0.3669	0	100000
122	157	0.0005	0.0195	0	100000
123	124	0.036	0.1076	0	100000
123	125	0.0476	0.1414	0	100000
160	124	0.0012	0.0396	0	100000
125	126	0.0006	0.0197	0	100000
126	127	0.0059	0.0405	0	100000
126	129	0.0115	0.1106	0	100000
126	132	0.0198	0.1688	0	100000
126	157	0.005	0.05	0	100000
126	158	0.0077	0.0538	0	100000
