Hour,Wind,Solar
1,0.02964424,0.440206319
2,0.053404614,0
3,0.045622487,0
4,0.09080191,0
5,0.177523956,0
6,0.196106315,0
7,0.163480639,0
8,0.12931183,0
9,0.131447554,0
10,0.162791938,0
11,0.1695849,0
12,0.115781084,0
13,0.063578397,0
14,0.073658198,0
15,0.191722095,0
16,0.141564459,0.160354823
17,0.172937483,0.530314207
18,0.100785479,0.737064183
19,0.041374963,0.841204882
20,0.060162984,0.897431374
21,0.139278054,0.916456223
22,0.159188926,0.8962937
23,0.143300146,0.850939989
24,0.263135701,0.69840014
25,0.167211637,0.450361133
26,0.04041839,0
27,0.016701991,0
28,0.152068675,0
29,0.226495713,0
30,0.270795286,0
31,0.298206151,0
32,0.271383047,0
33,0.194461107,0
34,0.327295542,0
35,0.274773479,0
36,0.121430814,0
37,0.050794065,0
38,0.108404294,0
39,0.102256775,0
40,0.1861431,0.186126664
41,0.182236999,0.562906146
42,0.200160995,0.759664118
43,0.068109088,0.873494685
44,0.131628543,0.942172468
45,0.148289382,0.968051136
46,0.182094038,0.979680836
47,0.09641251,0.861716151
48,0.076374777,0.702745676
49,0.145699397,0.440961123
50,0.112703539,0
51,0.098809496,0
52,0.10197708,0
53,0.127782613,0
54,0.081562892,0
55,0.091821164,0
56,0.070636228,0
57,0.095637769,0
58,0.137076259,0
59,0.184423566,0
60,0.080073029,0
61,0.047690038,0
62,0.076110631,0
63,0.087148085,0
64,0.164304718,0.04008859
65,0.080086917,0.487779409
66,0.062099628,0.727990925
67,0.010734077,0.868342638
68,0.037544459,0.940630615
69,0.061564088,0.950101674
70,0.060488835,0.913589895
71,0.078819871,0.835149765
72,0.005955826,0.678074241
73,0.002738278,0.42736125
74,0.0461994,0
75,0.024750056,0
76,0.054906156,0
77,0.049037442,0
78,0.024351049,0
79,0.064948611,0
80,0.053970229,0
81,0.053275988,0
82,0.092077136,0
83,0.047139842,0
84,0.016571974,0
85,0.066961907,0
86,0.057806022,0
87,0.055641636,0
88,0.04586409,0.165990442
89,0.114142492,0.519325376
90,0.032166228,0.711929858
91,0.002779649,0.824429989
92,0.065182857,0.896600544
93,0.143345937,0.91922009
94,0.17611517,0.900813818
95,0.10956569,0.85403955
