R_ID,Resource,region,Existing_Cap_MW,num_units,Cap_size,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,cluster,zone,voltage_level,CapRes,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,RPS,CES,Commit,Min_Share,Max_Share,Existing_Cap_MWh,unmodified_existing_cap_mw,New_Build,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Max_DSM_delay
22,natural_gas_fired_combustion_turbine,WEC_SDGE,51.3,1,51.3,10.8,0,pacific_naturalgas,11.12,0,0,0.409,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,14,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.3,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.55,0,0,0.329,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,15,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.55,0,0,0.33,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,16,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.55,0,0,0.34,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,17,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.6,0,0,0.35,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,18,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.6,0,0,0.36,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,19,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.6,0,0,0.37,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,20,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.65,0,0,0.38,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,21,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,natural_gas_fired_combustion_turbine,WEC_SDGE,98.2,2,49.1,10.8,0,pacific_naturalgas,10.65,0,0,0.39,3.78,3.78,40,3.5,1,1,0,1,1,1,0,0,22,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.2,1,0,0,0,0,0,0,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,onshore_wind_turbine,WEC_SDGE,217.6,3,64.67,0,0,None,9.12,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,194.001,0,0,0,0,0,0,0,43205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,small_hydroelectric,WEC_SDGE,7.32,6,1.22,0,0,None,9.12,0.002,0.001,0.385,1,1,0,0,0,0,0,1,1,1,0,0,1,1,trans,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,13.5,-1,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,solar_photovoltaic,WEC_SDGE,500,20,8.48,0,0,None,9.16,0,0.021,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,169.6,0,0,0,0,0,0,0,17943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,naturalgas_ccccsavgcf,WEC_SDGE,0,0,500,7.2,0,pacific_naturalgas_ccs90,7.52,0,0,0.6,0.64,0.64,95,3.5,6,6,0,1,1,1,0,0,0,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,2215517.785,229065,33620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,naturalgas_ccavgcf,WEC_SDGE,0,0,500,2,0,pacific_naturalgas,6.28,0,0,0.2,0.64,0.64,95,3.5,6,6,0,1,1,1,0,0,0,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,804772.856,114863,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,naturalgas_ctavgcf,WEC_SDGE,0,0,100,10.8,0,pacific_naturalgas,9.35,0,0,0.3,3.78,3.78,123,3.5,1,1,0,1,1,1,0,0,0,1,trans,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,699302.872,90151,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,battery,WEC_SDGE,0,0,1,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,1,10,0,1,trans,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,578000,74501,14450,177000,22814,4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,naturalgas_ccs100,WEC_SDGE,0,0,500,7.7,0,pacific_naturalgas_ccs100,7.88,0,0,0.6,0.64,0.64,95,3.5,6,6,0,1,1,1,0,0,0,1,trans,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,2331517.785,241058,43290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,landbasedwind_ltrg1,WEC_SDGE,0,0,1,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1401.08,0,0,1539971.684,288081.069,42496,0,0,0,0,0,0,0,0,0,0,0,21.732,190698.767,0,0,13.194,40075.854,17627.069,0
40,landbasedwind_ltrg1,WEC_SDGE,0,0,1,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,2,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,391.319,0,0,1539971.684,288189.734,42496,0,0,0,0,0,0,0,0,0,0,0,12.474,109463.738,0,0,40.406,122733.529,17735.734,0
41,utilitypv_losangeles,WEC_SDGE,0,0,1,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3828.575,0,0,1072583.692,130391.362,16536,0,0,0,0,0,0,0,0,0,0,0,8.598,75444.817,0,0,2.891,8781.109,6433.362,0
42,utilitypv_losangeles,WEC_SDGE,0,0,1,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,2,1,trans,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,6262.648,0,0,1072583.692,135738.331,16536,0,0,0,0,0,0,0,0,0,0,0,13.09,114863.841,0,0,12.96,39364.821,11780.331,0
